factor,reliability,mean_risk_uncertainty,spearman_rho_vs_default,high_risk_change_rate,route_change_rate,recommendation_change_rate,mean_risk_score_check,reliability_affects_assignment_mean,reliability_role,public_data_only,synthetic_data,production_validated,risk_reference_id
house_price_zip,0.5,0.03737186618303826,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.6,0.03612034913079433,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.7,0.0348688320785504,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.8,0.033617315026306466,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,0.9,0.032365797974062555,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
house_price_zip,1.0,0.031114280921818616,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.1,0.041340360549406464,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.2,0.040296760043253714,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.3,0.03925315953710097,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.4,0.03820955903094823,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.5,0.037165958524795484,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.6,0.03612235801864273,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.7,0.03507875751248999,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.8,0.03403515700633725,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,0.9,0.03299155650018452,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
area_type,1.0,0.03194795599403177,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.1,0.037111266376606326,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.2,0.03652273639426035,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.3,0.035934206411914374,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.4,0.0353456764295684,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.5,0.03475714644722242,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.6,0.03416861646487645,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.7,0.03358008648253048,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.8,0.03299155650018452,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,0.9,0.032403026517838544,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
housing_type,1.0,0.031814496535492565,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.1,0.04254167877214517,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.2,0.041418134975443915,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.3,0.04029459117874266,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.4,0.039171047382041406,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.5,0.03804750358534015,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.6,0.036923959788638896,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.7,0.035800415991937645,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.8,0.03467687219523639,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,0.9,0.033553328398535136,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
distance_to_clinic,1.0,0.03242978460183389,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.1,0.03835866404170823,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.2,0.03768777559901776,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.3,0.0370168871563273,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.4,0.036345998713636835,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.5,0.035675110270946365,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.6,0.0350042218282559,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.7,0.034333333385565434,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.8,0.03366244494287497,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,0.9,0.03299155650018452,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
driving_condition,1.0,0.032320668057494055,1.0,0.0,0.0,0.0,0.47721789143993737,False,uncertainty_only_in_mean_based_assignment,True,True,False,9237e030d3eeed990f7138399b26f3024037939e48d5eb89866d5bdd875af8d7
